I Träger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IPE,,,,,,,,,,,,,,,,,,,Knicklinie,,,,,,,,,,,
,h,b,s,t,r,h-2c,A,G,U,Sy,Jy,Wy,iy,Jz,Wz,iz,"Mpl,y,d","Npl,x,d","Vpl,z,d",Y-y,Z-z,,,,,,,,,,Berechnung Abminderungsfaktor ?
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,Frei,,,,,KFH,,,,,,,,,,,,,,,,,,,,,,,,,
,D,,s,t,r,h-2c,A,G,U,Sy,Jy,Wy,iy,Jz,Wz,iz,"Mpl,y,d","Npl,x,d","Vpl,z,d",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,
